card_id,owner_id,card_number,card_type,card_expiry_date
1,f0ee57c4-652b-4dcc-b4b9-3c58c5607350,374459282016738,JCB,04/27
2,b62c0f66-4b4a-4b20-be26-cdc52fd9a1d5,4532260123277294,Discover Card,07/26
3,24616693-ffbf-4ba2-bcbf-81b1b72ec7f3,4736342441255,Discover Card,02/26
4,de8b67f6-12c7-4c0b-9bae-5f2e2f41663f,5440274639959368,MasterCard,11/27
5,7fc8ccbf-dfbc-4934-9763-63d4724ab26d,4929330057080,Visa Retired,02/28
6,36624524-50fc-48fb-84f9-35e8ff5944cf,4539523563602245,Visa,06/26
7,7324c569-5c22-4999-a426-b1f9039aff45,2649326001022906,American Express,05/28
8,bc92deb0-f7eb-40ec-89cc-137124512dd3,2624338668723204,Visa Retired,07/28
9,d52d65f1-fbbb-49a3-b0e3-e946eae1245b,2484739002462715,American Express,03/28
10,eafc0338-06d0-4b17-8730-fc324b80d919,5583072232274517,JCB,10/28
11,9e0e4a4d-c5cb-41d6-a233-6f06ee9a7edd,375167560744983,Visa,05/28
12,6e1d6956-51eb-4e1d-9b86-765720054f94,4539171286103859,MasterCard,07/27
13,98aa92c2-4088-4fab-99ca-c5ebd33e0e9b,346793874376760,Visa,04/28
14,f46adb1d-eabf-4506-80c0-584a4014efda,4929303698268495,Visa,08/28
15,92f634f4-dfcc-4047-8b94-8e1c45a51bce,4539532326341553,Visa,04/28
16,37217a33-efbd-4123-b20b-ee419ffab1ef,2338351551861665,Discover Card,02/26
17,1d28546f-2077-4969-ac5d-66bd3bf596c7,2221121216392392,MasterCard,10/28
18,3f33dc3d-5d88-4c58-99a8-6f856bdd3aea,4687182725267,Visa,12/26
19,a34f6c90-f1e2-4c8d-b849-073a22148f4d,4539936790106709,Visa,04/27
20,a90f61f6-8e64-4c98-9469-c32d9adacdfa,4076427527223263,MasterCard,05/27
21,d1383565-cc6c-4c28-8941-45e553367429,5435648797862554,MasterCard,03/26
22,c7a30727-e536-42da-b2d3-b6a2130f575d,4716063029939969,Visa,08/28
23,ff5a66ad-2429-413f-b37f-615f09000790,6011018839477870,Visa,04/28
24,fe4a5cf9-2a9c-477c-a54a-9de19012f252,2496371209401852,MasterCard,05/27
25,d10f5a66-5b07-4cd3-ac01-e9e9d650397d,2426989096072802,American Express,02/28
26,f0b46469-1479-46c3-8603-3b10ebec6d2e,4716850754863129,Visa,11/28
27,eb6b1f12-f0f7-4c2a-b32b-f5cffb4ff111,4024007114200123,MasterCard,02/26
28,206d918e-603a-40b5-8b52-b7205ae83d0a,4485536182614189,Visa,06/27
29,6c357f14-c322-4a28-a22a-045e81fce58a,2586446251297134,American Express,07/28
